EmployeeID,Age,Gender,MaritalStatus,City,Education,Department,JobRole,MonthlyIncome,YearsAtCompany,NumCompaniesWorked,DistanceFromHome_km,OverTime,JobSatisfaction,WorkLifeBalance,PerformanceRating,TrainingTimesLastYear,Attrition
EMP01025,35,Female,Married,Chennai,Master,Engineering,QA Engineer,66458,18,3,8,No,3,2,3,0,No
EMP01026,41,Male,Single,Pune,Bachelor,Operations,Operations Analyst,114037,19,1,13,No,3,2,3,1,No
EMP01027,43,Female,Married,Bangalore,Bachelor,Sales,Sales Manager,177185,7,2,5,Yes,4,3,3,4,No
EMP01028,32,Female,Married,Hyderabad,Master,Engineering,Product Analyst,124977,18,6,2,Yes,1,1,3,4,No
EMP01029,48,Female,Married,Bangalore,College,HR,HR Executive,68939,5,1,9,No,3,2,3,0,No
EMP01030,24,Female,Single,Pune,Master,Sales,Sales Executive,54345,19,5,11,No,4,3,3,4,Yes
EMP01031,38,Female,Married,Chennai,Master,HR,Recruiter,135107,18,7,24,Yes,3,2,3,5,Yes
EMP01032,49,Male,Divorced,Delhi,Master,Sales,Sales Manager,146866,3,3,6,Yes,1,1,4,4,No
EMP01033,50,Female,Single,Pune,College,Sales,Sales Manager,94166,6,7,29,No,4,2,4,3,Yes
EMP01034,42,Female,Married,Chennai,Master,Marketing,Brand Manager,122406,3,4,26,No,1,3,3,2,Yes
EMP01035,37,Male,Single,Hyderabad,Master,Marketing,Marketing Analyst,74298,11,1,7,No,4,1,3,4,Yes
EMP01036,41,Male,Single,Pune,Master,Operations,Operations Analyst,69942,12,5,25,No,3,3,3,3,No
EMP01037,27,Female,Married,Bangalore,Below College,Engineering,Product Analyst,28453,2,3,7,Yes,2,1,3,1,Yes
EMP01038,40,Male,Single,Mumbai,Below College,Sales,Sales Executive,127811,11,7,19,No,3,1,3,4,No
EMP01039,26,Female,Single,Bangalore,Bachelor,Finance,Finance Analyst,79935,1,6,6,No,3,4,3,5,No
EMP01040,24,Male,Single,Hyderabad,College,Engineering,QA Engineer,147439,1,2,11,No,2,4,3,1,No
EMP01041,22,Male,Married,Delhi,Bachelor,Sales,Sales Executive,199442,8,3,29,Yes,2,4,3,4,Yes
EMP01042,36,Male,Married,Pune,Master,Engineering,Product Analyst,33328,0,7,11,No,4,1,3,0,Yes
EMP01043,55,Male,Single,Delhi,Bachelor,Sales,Sales Manager,40534,7,2,7,No,4,2,3,3,Yes
EMP01044,56,Female,Married,Hyderabad,Master,Marketing,Digital Marketing Executive,110280,5,7,2,No,1,3,3,3,Yes
EMP01045,46,Male,Single,Pune,Below College,Engineering,Product Analyst,61320,5,2,19,No,1,3,3,0,Yes
EMP01046,45,Male,Married,Chennai,Bachelor,Finance,Finance Analyst,74170,17,6,4,Yes,3,3,3,2,Yes
EMP01047,33,Male,Married,Chennai,Below College,Engineering,QA Engineer,125546,16,6,26,No,2,4,3,5,Yes
EMP01048,39,Male,Married,Bangalore,Bachelor,Engineering,Software Engineer,105201,11,1,6,No,1,1,3,3,Yes
EMP01049,36,Male,Divorced,Bangalore,Master,Engineering,QA Engineer,33640,5,1,17,No,3,4,3,1,No
EMP01050,37,Female,Divorced,Hyderabad,College,Sales,Sales Executive,186121,7,3,25,No,2,2,3,5,No
EMP01051,48,Male,Single,Chennai,Master,Marketing,Digital Marketing Executive,161690,18,6,5,No,4,1,3,3,No
EMP01052,29,Male,Married,Pune,Bachelor,Operations,Operations Manager,157992,9,5,29,No,3,3,3,2,No
EMP01053,46,Male,Single,Chennai,Master,Marketing,Digital Marketing Executive,68937,0,7,28,No,4,4,3,1,No
EMP01054,38,Male,Divorced,Bangalore,College,Operations,Process Executive,168279,12,7,7,Yes,1,4,3,5,Yes
EMP01055,50,Male,Single,Hyderabad,Bachelor,HR,HR Manager,189044,16,7,9,No,1,2,3,1,Yes
EMP01056,29,Male,Married,Chennai,Below College,Marketing,Digital Marketing Executive,166871,2,3,25,Yes,2,2,3,0,Yes
EMP01057,36,Female,Single,Hyderabad,Bachelor,Sales,Sales Executive,184988,7,7,1,No,3,4,3,4,No
EMP01058,48,Female,Single,Chennai,Bachelor,Sales,Account Manager,95463,13,4,1,No,4,2,4,0,No
EMP01059,28,Female,Married,Delhi,Master,Sales,Sales Executive,118500,2,2,19,No,2,3,3,5,Yes
EMP01060,24,Male,Divorced,Chennai,Master,Engineering,Software Engineer,62158,15,7,6,No,1,2,3,4,Yes
EMP01061,50,Male,Married,Bangalore,Master,Engineering,Data Analyst,109607,12,2,18,No,1,2,3,0,No
EMP01062,45,Male,Married,Pune,Bachelor,Engineering,Product Analyst,144639,19,1,10,Yes,3,4,3,4,Yes
EMP01063,24,Female,Married,Bangalore,College,Operations,Operations Analyst,96696,16,7,28,No,4,4,3,3,No
EMP01064,41,Female,Single,Bangalore,Bachelor,Engineering,Data Analyst,86510,12,5,11,Yes,3,1,3,1,Yes
EMP01065,36,Male,Single,Bangalore,Doctor,Engineering,Software Engineer,145076,5,6,1,Yes,4,1,3,4,No
EMP01066,46,Male,Single,Hyderabad,Master,Engineering,QA Engineer,83692,16,6,1,No,4,4,3,3,No
EMP01067,51,Female,Married,Mumbai,Master,Sales,Sales Manager,155841,13,1,13,Yes,3,2,3,2,Yes
EMP01068,35,Female,Single,Mumbai,Master,Operations,Operations Manager,40810,16,4,5,Yes,2,2,3,0,Yes
EMP01069,28,Female,Single,Delhi,College,Sales,Account Manager,161198,7,3,20,No,3,1,4,2,No
EMP01070,38,Female,Single,Bangalore,Bachelor,Marketing,Brand Manager,186081,10,3,1,No,3,1,3,5,No
EMP01071,41,Female,Single,Mumbai,Below College,Operations,Operations Analyst,136718,19,5,20,No,1,1,3,3,Yes
EMP01072,57,Male,Divorced,Delhi,Bachelor,Sales,Sales Manager,115932,0,1,3,No,1,3,3,2,No
EMP01073,30,Female,Single,Hyderabad,College,Sales,Sales Manager,25192,6,1,18,No,3,3,3,2,No
EMP01074,43,Female,Married,Bangalore,Bachelor,Operations,Operations Analyst,61413,16,4,9,No,3,1,4,3,No
EMP01075,23,Female,Married,Pune,Master,Finance,Finance Manager,168888,9,7,14,Yes,1,2,4,1,No
EMP01076,45,Male,Married,Hyderabad,Master,Finance,Accountant,64082,10,3,27,No,4,1,3,4,No
EMP01077,29,Male,Single,Delhi,Master,Operations,Process Executive,90048,8,7,17,No,3,3,3,5,No
EMP01078,32,Male,Single,Hyderabad,Master,Sales,Account Manager,148130,8,1,23,No,2,2,3,5,Yes
EMP01079,34,Male,Single,Pune,College,Engineering,Software Engineer,75940,4,7,14,No,2,3,3,0,No
EMP01080,38,Female,Married,Hyderabad,Below College,Sales,Account Manager,188202,16,6,29,No,2,2,3,4,No
EMP01081,29,Male,Single,Delhi,Master,Operations,Process Executive,65142,8,5,4,Yes,3,3,4,0,No
EMP01082,42,Male,Married,Pune,Bachelor,HR,HR Executive,61468,16,3,5,No,4,2,4,5,No
EMP01083,39,Female,Married,Pune,Bachelor,Engineering,Data Analyst,186770,18,4,26,No,4,2,4,4,No
EMP01084,51,Male,Married,Hyderabad,Bachelor,Sales,Sales Executive,166727,6,5,21,No,1,2,3,2,No
EMP01085,39,Male,Married,Pune,Bachelor,Engineering,QA Engineer,186147,8,2,17,Yes,3,2,3,1,No
EMP01086,52,Male,Married,Hyderabad,Bachelor,Engineering,QA Engineer,165431,6,6,22,No,4,4,3,2,No
EMP01087,53,Female,Married,Bangalore,Bachelor,Finance,Accountant,154048,12,4,29,No,3,3,3,1,No
EMP01088,32,Male,Single,Pune,Bachelor,Finance,Finance Manager,67056,10,5,25,Yes,1,3,3,3,No
EMP01089,46,Female,Married,Hyderabad,Master,Operations,Process Executive,76831,13,1,2,Yes,1,4,3,0,No
EMP01090,54,Male,Married,Bangalore,Bachelor,Engineering,Data Analyst,84191,18,2,23,No,1,2,3,0,No
EMP01091,29,Female,Married,Pune,Bachelor,Sales,Account Manager,146948,10,4,22,No,2,2,3,3,No
EMP01092,32,Male,Single,Bangalore,Bachelor,Finance,Accountant,189344,12,1,5,No,3,3,4,4,No
EMP01093,43,Male,Married,Chennai,Bachelor,Operations,Operations Analyst,133117,13,6,4,Yes,1,4,4,3,Yes
EMP01094,45,Male,Single,Pune,Master,HR,HR Executive,39671,12,2,4,No,3,2,4,5,No
EMP01095,38,Male,Single,Chennai,Master,Operations,Operations Analyst,52048,0,3,6,No,2,2,3,3,No
EMP01096,33,Male,Single,Delhi,Master,Engineering,Product Analyst,50963,7,1,20,Yes,2,2,3,1,Yes
EMP01097,53,Male,Single,Delhi,Bachelor,Engineering,QA Engineer,68954,11,5,21,No,1,1,3,5,Yes
EMP01098,36,Male,Married,Hyderabad,Bachelor,Engineering,Product Analyst,120430,18,7,13,Yes,1,4,3,3,No
EMP01099,37,Male,Married,Mumbai,Bachelor,Sales,Sales Executive,25717,11,4,22,Yes,4,2,4,0,No
EMP01100,43,Male,Single,Chennai,Bachelor,Sales,Sales Executive,36676,7,2,5,No,3,1,4,2,No
EMP01101,49,Male,Divorced,Chennai,Bachelor,Sales,Account Manager,160506,7,1,23,No,1,4,3,1,No
EMP01102,41,Female,Divorced,Delhi,Bachelor,Finance,Finance Manager,143696,12,3,25,Yes,4,2,3,1,Yes
EMP01103,54,Female,Divorced,Chennai,Bachelor,Engineering,Product Analyst,155830,11,7,26,No,3,3,3,4,No
EMP01104,31,Male,Married,Mumbai,Master,Engineering,Data Analyst,29994,15,4,23,Yes,1,1,3,2,Yes
EMP01105,53,Male,Married,Bangalore,College,Marketing,Digital Marketing Executive,29234,0,4,7,Yes,4,1,4,1,No
EMP01106,54,Female,Single,Bangalore,Master,Sales,Sales Manager,94300,12,1,20,Yes,4,2,3,3,Yes
EMP01107,23,Male,Married,Mumbai,College,Engineering,QA Engineer,68949,6,3,1,No,3,2,3,1,No
EMP01108,54,Female,Married,Chennai,College,Operations,Process Executive,62405,4,6,14,No,4,1,3,1,No
EMP01109,54,Male,Married,Chennai,Doctor,Sales,Sales Manager,59872,7,7,24,No,3,3,3,1,No
EMP01110,34,Female,Divorced,Chennai,Doctor,Sales,Sales Executive,67215,13,6,4,No,3,3,3,4,No
EMP01111,51,Male,Married,Hyderabad,College,Engineering,Product Analyst,48185,12,2,17,No,3,4,4,1,Yes
EMP01112,54,Female,Single,Pune,Bachelor,Sales,Sales Executive,199514,14,1,21,Yes,2,2,3,1,No
EMP01113,34,Male,Single,Mumbai,Bachelor,Marketing,Marketing Analyst,66153,16,7,14,No,4,3,3,4,Yes
EMP01114,47,Female,Single,Mumbai,Bachelor,Operations,Process Executive,102535,14,2,16,No,3,4,3,5,Yes
EMP01115,43,Male,Married,Mumbai,Master,Finance,Finance Manager,158653,19,6,14,No,1,3,3,2,No
EMP01116,23,Male,Married,Mumbai,Doctor,Operations,Process Executive,76717,17,7,16,Yes,2,2,3,5,Yes
EMP01117,47,Female,Married,Mumbai,Master,Operations,Operations Manager,27763,17,4,24,No,2,4,3,0,No
EMP01118,36,Male,Married,Chennai,Bachelor,Sales,Account Manager,117910,1,2,20,Yes,4,4,3,4,No
EMP01119,55,Female,Divorced,Hyderabad,Master,Operations,Process Executive,80480,3,3,29,No,3,4,3,4,Yes
EMP01120,32,Male,Married,Delhi,Bachelor,Engineering,QA Engineer,194831,0,5,28,No,4,3,3,1,Yes
EMP01121,24,Female,Married,Chennai,Master,Operations,Process Executive,143094,3,6,8,Yes,2,2,3,1,No
EMP01122,27,Male,Single,Chennai,Master,Operations,Operations Manager,181379,17,6,24,No,3,4,3,0,No
EMP01123,30,Female,Married,Pune,Bachelor,Engineering,Product Analyst,36064,4,3,3,Yes,1,1,3,1,Yes
EMP01124,27,Female,Married,Delhi,Bachelor,Sales,Sales Executive,101848,18,7,25,No,3,2,3,3,No
EMP01125,30,Male,Single,Mumbai,Bachelor,Sales,Sales Executive,62548,14,7,19,No,2,1,3,1,No
EMP01126,52,Female,Single,Delhi,Below College,Engineering,QA Engineer,193017,7,7,1,Yes,1,1,3,1,No
EMP01127,53,Female,Divorced,Hyderabad,Master,Operations,Operations Analyst,31476,19,2,2,Yes,3,4,3,3,Yes
EMP01128,33,Male,Single,Bangalore,Bachelor,Operations,Operations Analyst,115101,16,1,15,No,1,4,4,0,No
EMP01129,29,Female,Married,Chennai,Bachelor,Sales,Sales Executive,27382,0,4,22,Yes,1,3,3,3,Yes
EMP01130,29,Male,Single,Delhi,Bachelor,Engineering,Data Analyst,189474,11,5,28,Yes,2,3,3,4,No
EMP01131,49,Female,Married,Pune,Master,Engineering,Data Analyst,183018,18,1,10,Yes,1,3,4,3,No
EMP01132,41,Male,Married,Hyderabad,College,Sales,Account Manager,104698,14,1,18,No,4,2,3,2,No
EMP01133,28,Male,Married,Bangalore,Master,Sales,Sales Manager,178407,8,3,22,No,2,3,3,4,Yes
EMP01134,32,Male,Married,Hyderabad,Master,Engineering,Software Engineer,70095,6,2,14,Yes,4,1,3,1,No
EMP01135,41,Male,Divorced,Mumbai,Master,Marketing,Brand Manager,154974,1,6,17,Yes,1,3,3,4,Yes
EMP01136,37,Female,Married,Bangalore,Bachelor,Engineering,QA Engineer,52197,8,6,27,Yes,4,4,3,0,No
EMP01137,25,Female,Married,Pune,Bachelor,Engineering,QA Engineer,152619,9,3,13,Yes,3,3,3,0,Yes
EMP01138,27,Male,Married,Bangalore,Bachelor,Finance,Finance Manager,47010,1,2,1,No,1,2,3,3,Yes
EMP01139,43,Male,Single,Pune,Bachelor,Engineering,Product Analyst,180195,18,3,5,No,3,2,4,4,No
EMP01140,47,Female,Married,Mumbai,Bachelor,Marketing,Digital Marketing Executive,112923,10,6,26,Yes,4,1,3,1,No
EMP01141,24,Male,Married,Pune,Master,Marketing,Marketing Analyst,158962,12,1,13,No,3,2,3,0,Yes
EMP01142,35,Male,Single,Hyderabad,Bachelor,Engineering,Software Engineer,155526,9,4,27,No,1,3,3,5,No
EMP01143,32,Male,Single,Delhi,Master,Engineering,Product Analyst,134162,13,7,25,No,3,4,3,1,Yes
EMP01144,39,Male,Single,Hyderabad,Below College,Engineering,Product Analyst,145927,17,2,14,No,4,2,3,5,No
EMP01145,33,Male,Married,Chennai,Master,Engineering,Software Engineer,33026,18,5,24,No,4,1,3,2,No
EMP01146,44,Female,Married,Hyderabad,Master,Sales,Sales Manager,89925,8,5,3,Yes,4,3,3,5,Yes
EMP01147,33,Male,Single,Bangalore,Master,HR,HR Manager,93842,6,1,15,Yes,1,1,3,0,No
EMP01148,34,Female,Married,Mumbai,Master,Engineering,Data Analyst,58665,2,3,19,Yes,4,2,3,3,No
EMP01149,46,Male,Divorced,Chennai,Master,Sales,Sales Manager,34277,19,3,17,Yes,1,2,3,2,Yes
EMP01150,40,Male,Single,Chennai,Master,Engineering,Software Engineer,198311,5,6,3,No,3,1,3,4,No
EMP01151,57,Female,Married,Chennai,Bachelor,Marketing,Digital Marketing Executive,73008,1,1,16,No,4,3,3,1,No
EMP01152,29,Male,Divorced,Delhi,Bachelor,Sales,Account Manager,39683,5,6,14,No,3,2,3,0,No
EMP01153,50,Male,Divorced,Pune,Below College,Sales,Sales Manager,156742,2,6,12,No,2,4,3,2,Yes
EMP01154,53,Female,Single,Bangalore,Below College,Engineering,Data Analyst,173961,15,5,28,No,3,2,3,2,Yes
EMP01155,39,Male,Single,Mumbai,Bachelor,Marketing,Digital Marketing Executive,103542,7,6,12,No,2,3,3,0,No
EMP01156,27,Female,Single,Delhi,College,Sales,Sales Executive,79319,1,7,29,Yes,3,2,3,4,Yes
EMP01157,39,Male,Married,Hyderabad,Bachelor,Finance,Finance Manager,117067,16,6,11,Yes,1,1,3,4,No
EMP01158,40,Female,Married,Mumbai,Bachelor,Operations,Operations Manager,177711,8,5,17,No,3,2,3,3,No
EMP01159,43,Male,Married,Chennai,Below College,Sales,Account Manager,172705,11,7,8,Yes,1,2,3,5,Yes
EMP01160,53,Male,Single,Mumbai,Master,Finance,Finance Manager,190732,2,3,17,No,1,3,3,4,No
EMP01161,24,Female,Single,Mumbai,Below College,Engineering,Data Analyst,93975,10,2,21,Yes,4,1,3,3,No
EMP01162,49,Female,Married,Hyderabad,Master,Finance,Finance Analyst,188244,0,4,25,No,1,3,3,5,No
EMP01163,31,Male,Married,Pune,Bachelor,Finance,Accountant,126158,12,6,23,No,2,2,3,2,No
EMP01164,56,Male,Married,Bangalore,Master,Engineering,Data Analyst,36577,14,7,20,Yes,4,4,3,0,No
EMP01165,50,Male,Married,Chennai,Master,Sales,Account Manager,102299,4,2,11,No,4,2,3,4,Yes
EMP01166,36,Female,Single,Pune,Master,Operations,Process Executive,45176,16,5,25,Yes,3,3,3,3,No
EMP01167,54,Female,Single,Delhi,Master,Engineering,Software Engineer,88972,5,2,25,No,1,4,3,2,No
EMP01168,28,Female,Single,Chennai,Below College,Sales,Account Manager,145018,10,4,2,No,1,3,3,4,No
EMP01169,33,Male,Single,Bangalore,Doctor,Sales,Sales Manager,197075,17,2,10,No,2,3,3,1,No
EMP01170,51,Female,Single,Delhi,Master,HR,HR Manager,44996,3,7,10,No,3,1,4,2,Yes
EMP01171,42,Male,Single,Hyderabad,Master,Finance,Finance Analyst,125922,2,2,11,Yes,3,4,4,4,Yes
EMP01172,52,Male,Single,Pune,Master,Sales,Sales Executive,111598,12,2,28,No,4,2,3,2,No
EMP01173,45,Male,Single,Chennai,Bachelor,Engineering,Product Analyst,60931,8,2,6,No,4,3,3,0,No
EMP01174,41,Female,Married,Mumbai,Master,Sales,Sales Manager,149168,5,1,4,No,4,2,3,0,No
EMP01175,25,Female,Single,Bangalore,Bachelor,Finance,Finance Analyst,191782,11,6,24,Yes,2,1,3,0,No
EMP01176,49,Male,Married,Chennai,Bachelor,Sales,Sales Executive,148099,1,5,12,No,2,1,3,5,Yes
EMP01177,41,Female,Married,Mumbai,College,Finance,Finance Analyst,59693,2,4,11,No,4,4,3,1,Yes
EMP01178,45,Female,Married,Chennai,Master,Engineering,Software Engineer,191812,2,5,23,Yes,3,1,4,0,No
EMP01179,53,Male,Divorced,Delhi,College,Marketing,Marketing Analyst,133944,11,1,23,No,2,1,4,1,Yes
EMP01180,57,Male,Single,Mumbai,Bachelor,Sales,Account Manager,42374,14,1,27,Yes,3,2,3,0,Yes
EMP01181,55,Female,Married,Mumbai,Bachelor,Engineering,QA Engineer,106471,8,7,26,No,3,1,3,5,No
EMP01182,57,Female,Divorced,Chennai,Master,Sales,Sales Executive,70913,7,1,25,No,1,1,3,2,No
EMP01183,23,Male,Married,Hyderabad,Master,Marketing,Digital Marketing Executive,148683,10,6,13,No,4,3,3,4,No
EMP01184,36,Male,Single,Hyderabad,Bachelor,Operations,Operations Analyst,69516,15,1,5,No,1,1,3,4,No
EMP01185,55,Male,Single,Pune,Below College,Engineering,Data Analyst,112796,3,2,6,No,4,3,3,0,No
EMP01186,57,Male,Single,Delhi,Master,Finance,Finance Manager,51069,0,5,1,Yes,4,1,3,4,Yes
EMP01187,27,Female,Married,Hyderabad,Doctor,Operations,Operations Manager,143333,6,3,6,Yes,3,1,3,0,No
EMP01188,33,Male,Married,Chennai,Master,HR,Recruiter,109811,1,4,18,No,4,4,3,0,No
EMP01189,24,Female,Single,Hyderabad,Bachelor,Engineering,Data Analyst,143028,4,1,22,Yes,3,4,4,3,No
EMP01190,39,Male,Married,Pune,Master,Sales,Sales Manager,64178,6,5,9,Yes,3,3,3,3,No
EMP01191,42,Male,Married,Bangalore,Bachelor,Sales,Account Manager,57821,3,7,24,No,4,1,3,3,No
EMP01192,36,Male,Married,Pune,Bachelor,Operations,Process Executive,41999,4,1,25,Yes,3,2,3,1,Yes
EMP01193,54,Female,Married,Mumbai,Bachelor,Marketing,Brand Manager,63712,0,6,29,Yes,3,4,3,3,Yes
EMP01194,56,Male,Married,Mumbai,Bachelor,Finance,Finance Analyst,196244,0,1,15,No,3,2,3,0,Yes
EMP01195,47,Female,Single,Hyderabad,Master,Engineering,Data Analyst,58722,14,1,26,Yes,2,4,3,5,No
EMP01196,29,Male,Married,Hyderabad,Bachelor,Engineering,Product Analyst,35625,19,1,8,No,3,4,4,5,Yes
EMP01197,57,Male,Single,Pune,Bachelor,Finance,Accountant,31859,18,7,19,No,2,1,3,2,Yes
EMP01198,51,Male,Married,Pune,Bachelor,Operations,Process Executive,197681,9,1,24,No,2,4,3,3,Yes
EMP01199,44,Male,Divorced,Chennai,Below College,Operations,Process Executive,199379,17,4,16,Yes,3,2,3,5,No
EMP01200,35,Female,Married,Delhi,Bachelor,Operations,Operations Manager,135986,2,5,6,No,3,4,4,3,Yes
EMP01201,35,Male,Married,Chennai,Bachelor,Finance,Accountant,46839,10,6,29,No,2,3,3,2,No
EMP01202,23,Female,Single,Mumbai,College,Sales,Account Manager,52216,14,1,6,No,2,1,3,5,Yes
EMP01203,26,Male,Single,Chennai,Master,Sales,Sales Manager,77953,10,1,22,Yes,3,1,3,0,Yes
EMP01204,35,Male,Married,Pune,Master,Operations,Operations Analyst,74522,16,1,3,No,3,3,3,1,No
EMP01205,46,Male,Single,Chennai,Master,HR,HR Executive,160958,16,1,10,No,4,3,3,3,No
EMP01206,41,Male,Married,Bangalore,Bachelor,Sales,Sales Executive,136249,5,2,1,No,2,3,3,5,Yes
EMP01207,23,Female,Single,Delhi,Master,Sales,Sales Executive,32485,4,2,28,No,2,4,3,5,Yes
EMP01208,27,Female,Single,Pune,Master,Finance,Accountant,187527,7,3,14,No,4,1,3,2,No
EMP01209,38,Male,Single,Hyderabad,Master,Sales,Sales Executive,172839,1,1,4,No,2,3,3,0,Yes
EMP01210,46,Male,Divorced,Chennai,Master,Sales,Account Manager,137701,15,3,26,Yes,1,4,3,4,No
EMP01211,49,Female,Married,Pune,Bachelor,Engineering,Data Analyst,184525,19,4,12,No,2,3,3,5,No
EMP01212,23,Female,Single,Hyderabad,Doctor,Finance,Finance Manager,127638,11,3,6,Yes,4,2,3,1,Yes
EMP01213,56,Female,Single,Hyderabad,Bachelor,Finance,Finance Analyst,37226,5,5,11,No,1,2,3,2,Yes
EMP01214,26,Male,Married,Mumbai,Bachelor,Sales,Sales Executive,118405,0,2,12,Yes,3,1,3,5,No
EMP01215,22,Male,Single,Mumbai,Bachelor,Finance,Finance Analyst,47588,3,2,10,No,4,4,4,5,No
EMP01216,33,Female,Married,Pune,College,Sales,Account Manager,187781,16,1,18,Yes,4,2,4,2,Yes
EMP01217,57,Female,Married,Pune,Doctor,Engineering,Software Engineer,62019,12,1,7,No,3,2,3,2,No
EMP01218,44,Male,Married,Bangalore,Bachelor,Finance,Finance Analyst,90133,17,4,7,No,4,4,3,3,Yes
EMP01219,52,Female,Married,Delhi,Bachelor,Finance,Finance Analyst,139444,4,6,11,Yes,2,3,3,5,Yes
EMP01220,32,Female,Married,Delhi,Master,Operations,Operations Analyst,142603,2,4,4,Yes,3,4,4,4,No
EMP01221,31,Male,Divorced,Pune,Bachelor,Finance,Accountant,183598,10,5,20,Yes,4,3,3,1,No
EMP01222,24,Male,Divorced,Mumbai,Below College,HR,HR Executive,153585,12,1,1,No,3,2,3,0,No
EMP01223,35,Male,Married,Chennai,Master,Sales,Account Manager,68395,3,1,13,No,3,2,3,0,No
EMP01224,37,Male,Single,Bangalore,Master,Engineering,Data Analyst,180103,13,4,18,No,3,2,4,4,No
EMP01225,31,Female,Married,Delhi,Bachelor,Engineering,Product Analyst,150814,10,4,9,Yes,1,1,3,2,No
EMP01226,50,Male,Single,Pune,Master,Sales,Account Manager,193773,9,4,26,No,4,1,3,2,Yes
EMP01227,31,Female,Married,Mumbai,Bachelor,Marketing,Brand Manager,137599,18,2,24,No,1,1,3,2,Yes
EMP01228,33,Female,Married,Mumbai,Bachelor,Engineering,Data Analyst,50939,17,3,24,No,4,4,3,5,No
EMP01229,51,Male,Single,Mumbai,Bachelor,Operations,Process Executive,176396,5,3,9,No,2,2,3,2,Yes
EMP01230,22,Male,Single,Chennai,Bachelor,Finance,Finance Analyst,178939,14,1,23,Yes,2,2,3,2,Yes
EMP01231,26,Female,Married,Hyderabad,Master,Operations,Process Executive,25203,9,2,29,Yes,2,4,3,5,Yes
EMP01232,41,Female,Married,Chennai,Master,Engineering,QA Engineer,172616,4,4,9,Yes,4,1,4,5,No
EMP01233,29,Female,Married,Mumbai,Bachelor,HR,HR Executive,171971,4,1,10,Yes,3,4,3,4,No
EMP01234,33,Male,Married,Pune,Bachelor,Engineering,QA Engineer,54063,9,2,28,Yes,3,1,3,3,No
EMP01235,22,Male,Single,Bangalore,Master,Sales,Sales Manager,115880,4,5,2,Yes,1,2,3,5,No
EMP01236,41,Male,Married,Chennai,Bachelor,Finance,Finance Analyst,28748,2,6,6,No,1,3,3,1,No
EMP01237,49,Female,Married,Pune,Bachelor,Engineering,Software Engineer,142269,5,2,15,No,2,1,3,2,Yes
